CustomerKey,CustomerID,CustomerName,Gender,AgeGroup,CustomerSegment
1,CUST0001,Rohit Das,Male,18-25,Regular
2,CUST0002,Vivaan Das,Male,18-25,Occasional
3,CUST0003,Aditya Gupta,Male,26-35,Occasional
4,CUST0004,Riya Mehta,Male,46-60,Regular
5,CUST0005,Riya Reddy,Female,46-60,Loyal
6,CUST0006,Suresh Das,Male,46-60,Regular
7,CUST0007,Rahul Das,Male,46-60,Loyal
8,CUST0008,Aarav Mehta,Male,26-35,Regular
9,CUST0009,Mahesh Kumar,Male,26-35,Occasional
10,CUST0010,Aishwarya Reddy,Male,18-25,Loyal
11,CUST0011,Aditya Nair,Female,26-35,Occasional
12,CUST0012,Arjun Singh,Female,26-35,Loyal
13,CUST0013,Arjun Nair,Male,46-60,Occasional
14,CUST0014,Aarav Mehta,Male,36-45,Regular
15,CUST0015,Ananya Singh,Female,46-60,Regular
16,CUST0016,Pooja Reddy,Female,36-45,Loyal
17,CUST0017,Aishwarya Das,Male,26-35,Occasional
18,CUST0018,Riya Nair,Female,36-45,Loyal
19,CUST0019,Meera Iyer,Male,26-35,Loyal
20,CUST0020,Suresh Iyer,Male,36-45,Regular
21,CUST0021,Aarav Nair,Male,36-45,Loyal
22,CUST0022,Mahesh Sharma,Female,46-60,Occasional
23,CUST0023,Ananya Sharma,Male,26-35,Regular
24,CUST0024,Vivaan Gupta,Female,36-45,Loyal
25,CUST0025,Meera Reddy,Male,18-25,Regular
26,CUST0026,Aditya Mehta,Male,18-25,Occasional
27,CUST0027,Karthik Singh,Female,46-60,Occasional
28,CUST0028,Riya Nair,Female,18-25,Loyal
29,CUST0029,Aarav Kumar,Male,46-60,Loyal
30,CUST0030,Riya Reddy,Male,36-45,Loyal
31,CUST0031,Arjun Das,Male,26-35,Occasional
32,CUST0032,Suresh Singh,Male,18-25,Occasional
33,CUST0033,Mahesh Singh,Male,46-60,Regular
34,CUST0034,Aishwarya Iyer,Male,46-60,Regular
35,CUST0035,Nikhil Nair,Female,26-35,Occasional
36,CUST0036,Kavya Patel,Male,46-60,Loyal
37,CUST0037,Vivaan Gupta,Male,46-60,Loyal
38,CUST0038,Karthik Kumar,Male,26-35,Occasional
39,CUST0039,Rohit Gupta,Female,18-25,Loyal
40,CUST0040,Vivaan Das,Male,46-60,Loyal
41,CUST0041,Riya Singh,Female,36-45,Occasional
42,CUST0042,Pooja Iyer,Female,26-35,Occasional
43,CUST0043,Nikhil Singh,Male,36-45,Regular
44,CUST0044,Vivaan Nair,Male,36-45,Loyal
45,CUST0045,Karthik Das,Female,26-35,Loyal
46,CUST0046,Aarav Patel,Male,36-45,Regular
47,CUST0047,Rohit Singh,Female,36-45,Loyal
48,CUST0048,Aditya Iyer,Female,46-60,Regular
49,CUST0049,Aarav Kumar,Female,18-25,Regular
50,CUST0050,Vivaan Sharma,Male,26-35,Occasional
51,CUST0051,Rohit Patel,Male,18-25,Occasional
52,CUST0052,Pooja Iyer,Male,26-35,Regular
53,CUST0053,Karthik Kumar,Male,18-25,Regular
54,CUST0054,Riya Gupta,Male,26-35,Regular
55,CUST0055,Arjun Kumar,Female,46-60,Occasional
56,CUST0056,Neha Patel,Female,36-45,Occasional
57,CUST0057,Arjun Kumar,Male,46-60,Regular
58,CUST0058,Aarav Patel,Male,46-60,Regular
59,CUST0059,Aarav Reddy,Female,26-35,Regular
60,CUST0060,Priya Patel,Female,26-35,Regular
61,CUST0061,Nikhil Reddy,Female,36-45,Occasional
62,CUST0062,Rohit Gupta,Male,18-25,Loyal
63,CUST0063,Priya Kumar,Male,36-45,Regular
64,CUST0064,Mahesh Mehta,Female,46-60,Occasional
65,CUST0065,Priya Iyer,Female,26-35,Regular
66,CUST0066,Divya Mehta,Female,46-60,Regular
67,CUST0067,Divya Reddy,Female,26-35,Loyal
68,CUST0068,Mahesh Kumar,Male,18-25,Regular
69,CUST0069,Divya Gupta,Female,26-35,Regular
70,CUST0070,Arjun Mehta,Male,26-35,Loyal
71,CUST0071,Rohit Mehta,Male,18-25,Regular
72,CUST0072,Neha Sharma,Male,18-25,Regular
73,CUST0073,Mahesh Iyer,Male,26-35,Regular
74,CUST0074,Pooja Nair,Male,26-35,Regular
75,CUST0075,Karthik Nair,Male,46-60,Occasional
76,CUST0076,Arjun Nair,Male,18-25,Regular
77,CUST0077,Karthik Das,Male,26-35,Loyal
78,CUST0078,Neha Iyer,Male,18-25,Loyal
79,CUST0079,Mahesh Das,Female,36-45,Loyal
80,CUST0080,Neha Iyer,Male,18-25,Regular
81,CUST0081,Suresh Reddy,Female,26-35,Loyal
82,CUST0082,Priya Reddy,Male,18-25,Occasional
